startup_name,angellist_url
Buzzstarter,https://angel.co/buzzstarter
Buzzstarter,https://angel.co/fandrop
Buzzstarter,https://angel.co/buzzstarter-3
Buzzstarter,https://angel.co/svg-syndicate
Share Some Style,https://angel.co/share-some-style
Share Some Style,https://angel.co/figr-1
Share Some Style,https://angel.co/rotor-1
Share Some Style,https://angel.co/nexttoher
Share Some Style,https://angel.co/walk-in-my-closet-llc
Share Some Style,https://angel.co/bitlendingclub
Share Some Style,https://angel.co/bravery-1
Share Some Style,https://angel.co/napk-in
Share Some Style,https://angel.co/anubii
Share Some Style,https://angel.co/style-blox-inc
Quest,https://angel.co/quest-venture-partners
Quest,https://angel.co/quest
Quest,https://angel.co/questvc
Quest,https://angel.co/questli
Quest,https://angel.co/quest-to
Quest,https://angel.co/questful
Quest,https://angel.co/quegal-a-question-of-legal
Quest,https://angel.co/questrade
Quest,https://angel.co/questicker
Quest,https://angel.co/quest-software
Populr,https://angel.co/populr-me
Populr,https://angel.co/populr
Populr,https://angel.co/xcuse-me-doctor
WishPlz,https://angel.co/wishplz
WishPlz,https://angel.co/svg-syndicate
